X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,speed,course,hAcc,vAcc
37.684983,55.765357,0,0,60,148.690612,2023/03/03 12:58:19+00,,,,,,,,,,,,,,,,,,,,,,0.159313,349.183579,2.037771,0.791159
37.684983,55.765359,0,0,61,148.591135,2023/03/03 12:58:20+00,,,,,,,,,,,,,,,,,,,,,,0.206858,352.422277,2.037826,0.791164
37.684983,55.765361,0,0,62,148.493832,2023/03/03 12:58:21+00,,,,,,,,,,,,,,,,,,,,,,0.252665,357.339683,2.037904,0.791198
37.684983,55.765363,0,0,63,148.399145,2023/03/03 12:58:22+00,,,,,,,,,,,,,,,,,,,,,,0.283574,3.15732,2.03796,0.791254
37.684983,55.765366,0,0,64,148.31113,2023/03/03 12:58:23+00,,,,,,,,,,,,,,,,,,,,,,0.289111,9.107989,2.03797,0.791343
37.684984,55.765368,0,0,65,148.232547,2023/03/03 12:58:24+00,,,,,,,,,,,,,,,,,,,,,,0.267062,15.039619,2.037937,0.791483
37.684986,55.76537,0,0,66,148.16707,2023/03/03 12:58:25+00,,,,,,,,,,,,,,,,,,,,,,0.229344,21.187675,2.037835,0.791658
37.684987,55.765372,0,0,67,148.117337,2023/03/03 12:58:26+00,,,,,,,,,,,,,,,,,,,,,,0.18293,26.763627,2.037662,0.79187
37.684988,55.765373,0,0,68,148.083397,2023/03/03 12:58:27+00,,,,,,,,,,,,,,,,,,,,,,0.126935,29.062247,2.037446,0.792123
37.684989,55.765374,0,0,69,148.063278,2023/03/03 12:58:28+00,,,,,,,,,,,,,,,,,,,,,,0.065183,18.201231,2.037172,0.79242
37.684989,55.765374,0,0,70,148.05859,2023/03/03 12:58:29+00,,,,,,,,,,,,,,,,,,,,,,0.039666,300.573637,2.036767,0.792755
37.684988,55.765374,0,0,71,148.067934,2023/03/03 12:58:30+00,,,,,,,,,,,,,,,,,,,,,,0.092911,262.427852,2.036184,0.793114
37.684986,55.765374,0,0,72,148.091622,2023/03/03 12:58:31+00,,,,,,,,,,,,,,,,,,,,,,0.14216,253.957069,2.035477,0.793485
37.684983,55.765374,0,0,73,148.12796,2023/03/03 12:58:32+00,,,,,,,,,,,,,,,,,,,,,,0.167878,246.906334,2.034753,0.793851
37.684981,55.765373,0,0,74,148.170483,2023/03/03 12:58:33+00,,,,,,,,,,,,,,,,,,,,,,0.173499,239.832215,2.034088,0.795635
37.684979,55.765372,0,0,75,148.220197,2023/03/03 12:58:34+00,,,,,,,,,,,,,,,,,,,,,,0.168455,233.517424,2.033697,0.797683
37.684976,55.765371,0,0,76,148.277176,2023/03/03 12:58:35+00,,,,,,,,,,,,,,,,,,,,,,0.1613,229.609157,2.033812,0.800002
37.684975,55.76537,0,0,77,148.339204,2023/03/03 12:58:36+00,,,,,,,,,,,,,,,,,,,,,,0.149916,227.395819,2.03482,0.802666
37.684973,55.765369,0,0,78,148.403533,2023/03/03 12:58:37+00,,,,,,,,,,,,,,,,,,,,,,0.129197,221.257329,2.037595,0.805818
37.684972,55.765369,0,0,79,148.468699,2023/03/03 12:58:38+00,,,,,,,,,,,,,,,,,,,,,,0.103753,203.185256,2.043961,0.809703
37.684972,55.765368,0,0,80,148.534839,2023/03/03 12:58:39+00,,,,,,,,,,,,,,,,,,,,,,0.097311,166.523306,2.057217,0.814676
37.684973,55.765367,0,0,81,148.601473,2023/03/03 12:58:40+00,,,,,,,,,,,,,,,,,,,,,,0.136957,132.846872,2.083585,0.82128
37.684975,55.765366,0,0,82,148.668667,2023/03/03 12:58:41+00,,,,,,,,,,,,,,,,,,,,,,0.201528,117.008604,2.137208,0.83026
37.684978,55.765365,0,0,83,148.734213,2023/03/03 12:58:42+00,,,,,,,,,,,,,,,,,,,,,,0.26559,110.477367,2.254152,0.842623
37.684988,55.765363,0,0,84,148.85508,2023/03/03 12:58:44+00,,,,,,,,,,,,,,,,,,,,,,0.366002,105.463589,2.254742,0.844465
37.684993,55.765363,0,0,85,148.915808,2023/03/03 12:58:45+00,,,,,,,,,,,,,,,,,,,,,,0.353005,106.398031,2.138298,0.831379
37.684999,55.765362,0,0,86,148.978954,2023/03/03 12:58:46+00,,,,,,,,,,,,,,,,,,,,,,0.332111,108.697272,2.085145,0.822058
37.685004,55.765361,0,0,87,149.045518,2023/03/03 12:58:47+00,,,,,,,,,,,,,,,,,,,,,,0.31462,111.48271,2.059095,0.815404
37.685008,55.76536,0,0,88,149.113741,2023/03/03 12:58:48+00,,,,,,,,,,,,,,,,,,,,,,0.304163,113.532296,2.045948,0.81061
37.685012,55.765358,0,0,89,149.182812,2023/03/03 12:58:49+00,,,,,,,,,,,,,,,,,,,,,,0.293575,113.651027,2.03955,0.807095
37.685017,55.765358,0,0,90,149.252663,2023/03/03 12:58:50+00,,,,,,,,,,,,,,,,,,,,,,0.2815,111.203907,2.036678,0.804464
37.685021,55.765357,0,0,91,149.323588,2023/03/03 12:58:51+00,,,,,,,,,,,,,,,,,,,,,,0.268086,106.395431,2.035482,0.802447
37.685025,55.765356,0,0,92,149.395539,2023/03/03 12:58:52+00,,,,,,,,,,,,,,,,,,,,,,0.247168,99.82591,2.035018,0.802292
37.685028,55.765356,0,0,93,149.469982,2023/03/03 12:58:53+00,,,,,,,,,,,,,,,,,,,,,,0.212105,90.670361,2.034997,0.802736
37.685032,55.765356,0,0,94,149.544725,2023/03/03 12:58:54+00,,,,,,,,,,,,,,,,,,,,,,0.174445,79.685019,2.035425,0.803704
37.685034,55.765356,0,0,95,149.621006,2023/03/03 12:58:55+00,,,,,,,,,,,,,,,,,,,,,,0.143127,70.864805,2.036731,0.805224
37.685036,55.765357,0,0,96,149.694683,2023/03/03 12:58:56+00,,,,,,,,,,,,,,,,,,,,,,0.116776,68.892642,2.039907,0.807416
37.685038,55.765357,0,0,97,149.765882,2023/03/03 12:58:57+00,,,,,,,,,,,,,,,,,,,,,,0.091824,74.225954,2.046724,0.810498
37.685039,55.765357,0,0,98,149.834368,2023/03/03 12:58:58+00,,,,,,,,,,,,,,,,,,,,,,0.069082,85.476443,2.060284,0.814825
37.68504,55.765357,0,0,99,149.898397,2023/03/03 12:58:59+00,,,,,,,,,,,,,,,,,,,,,,0.042896,104.321482,2.086656,0.820923
37.68504,55.765357,0,0,100,149.958376,2023/03/03 12:59:00+00,,,,,,,,,,,,,,,,,,,,,,0.0191,165.769488,2.139997,0.829514
37.68504,55.765357,0,0,101,150.014895,2023/03/03 12:59:01+00,,,,,,,,,,,,,,,,,,,,,,0.037443,247.555635,2.256548,0.841592
37.685037,55.765357,0,0,102,150.110713,2023/03/03 12:59:03+00,,,,,,,,,,,,,,,,,,,,,,0.159617,283.438804,2.256765,0.843086
37.685034,55.765358,0,0,103,150.145968,2023/03/03 12:59:04+00,,,,,,,,,,,,,,,,,,,,,,0.184116,287.353647,2.140305,0.829914
37.685032,55.765358,0,0,104,150.182103,2023/03/03 12:59:05+00,,,,,,,,,,,,,,,,,,,,,,0.197402,291.731712,2.087198,0.82199
37.685029,55.765359,0,0,105,150.220691,2023/03/03 12:59:06+00,,,,,,,,,,,,,,,,,,,,,,0.205486,294.906422,2.061304,0.8171
37.685026,55.76536,0,0,106,150.260744,2023/03/03 12:59:07+00,,,,,,,,,,,,,,,,,,,,,,0.21308,297.548958,2.048531,0.814409
37.685023,55.765361,0,0,107,150.30289,2023/03/03 12:59:08+00,,,,,,,,,,,,,,,,,,,,,,0.231698,299.259686,2.043172,0.813395
37.685019,55.765362,0,0,108,150.345633,2023/03/03 12:59:09+00,,,,,,,,,,,,,,,,,,,,,,0.264351,298.95902,2.043076,0.813795
37.685015,55.765363,0,0,109,150.390594,2023/03/03 12:59:10+00,,,,,,,,,,,,,,,,,,,,,,0.305596,297.201823,2.048394,0.815573
37.68501,55.765364,0,0,110,150.441967,2023/03/03 12:59:11+00,,,,,,,,,,,,,,,,,,,,,,0.352922,294.300629,2.061441,0.818915
37.685005,55.765365,0,0,111,150.500396,2023/03/03 12:59:12+00,,,,,,,,,,,,,,,,,,,,,,0.409825,290.5462,2.087821,0.824231
37.684998,55.765367,0,0,112,150.56508,2023/03/03 12:59:13+00,,,,,,,,,,,,,,,,,,,,,,0.481287,286.362,2.141385,0.832194
37.68499,55.765368,0,0,113,150.640379,2023/03/03 12:59:14+00,,,,,,,,,,,,,,,,,,,,,,0.558654,282.785055,2.258148,0.84376
37.684972,55.76537,0,0,114,150.80761,2023/03/03 12:59:16+00,,,,,,,,,,,,,,,,,,,,,,0.631946,276.766652,2.258215,0.844531
37.684962,55.76537,0,0,115,150.916178,2023/03/03 12:59:17+00,,,,,,,,,,,,,,,,,,,,,,0.578536,276.194419,2.141363,0.831103
37.684953,55.765371,0,0,116,151.030583,2023/03/03 12:59:18+00,,,,,,,,,,,,,,,,,,,,,,0.513873,276.475864,2.087769,0.821523
37.684946,55.765371,0,0,117,151.149269,2023/03/03 12:59:19+00,,,,,,,,,,,,,,,,,,,,,,0.469748,278.347687,2.061301,0.814703
37.684938,55.765372,0,0,118,151.277913,2023/03/03 12:59:20+00,,,,,,,,,,,,,,,,,,,,,,0.461206,281.051057,2.047768,0.809808
37.684931,55.765373,0,0,119,151.415202,2023/03/03 12:59:21+00,,,,,,,,,,,,,,,,,,,,,,0.476774,282.952213,2.041008,0.806252
37.684924,55.765374,0,0,120,151.55435,2023/03/03 12:59:22+00,,,,,,,,,,,,,,,,,,,,,,0.491835,283.002094,2.037865,0.803625
37.684916,55.765375,0,0,121,151.696114,2023/03/03 12:59:23+00,,,,,,,,,,,,,,,,,,,,,,0.490486,280.755342,2.036548,0.801637
37.684908,55.765376,0,0,122,151.832291,2023/03/03 12:59:24+00,,,,,,,,,,,,,,,,,,,,,,0.4819,276.723795,2.036024,0.801555
37.684901,55.765376,0,0,123,151.96917,2023/03/03 12:59:25+00,,,,,,,,,,,,,,,,,,,,,,0.469327,272.29852,2.035897,0.802109
37.684893,55.765376,0,0,124,152.105035,2023/03/03 12:59:26+00,,,,,,,,,,,,,,,,,,,,,,0.447096,269.005557,2.036141,0.803228
37.684887,55.765376,0,0,125,152.240968,2023/03/03 12:59:27+00,,,,,,,,,,,,,,,,,,,,,,0.417221,267.30663,2.037226,0.80493
37.68488,55.765376,0,0,126,152.374827,2023/03/03 12:59:28+00,,,,,,,,,,,,,,,,,,,,,,0.383308,266.548081,2.04019,0.807333
37.684874,55.765375,0,0,127,152.504184,2023/03/03 12:59:29+00,,,,,,,,,,,,,,,,,,,,,,0.34966,266.751067,2.046837,0.810658
37.684869,55.765375,0,0,128,152.626327,2023/03/03 12:59:30+00,,,,,,,,,,,,,,,,,,,,,,0.322769,268.367417,2.060302,0.81526
37.684864,55.765375,0,0,129,152.732498,2023/03/03 12:59:31+00,,,,,,,,,,,,,,,,,,,,,,0.313713,270.429794,2.086604,0.821696
37.684859,55.765375,0,0,130,152.828654,2023/03/03 12:59:32+00,,,,,,,,,,,,,,,,,,,,,,0.313795,272.417598,2.139775,0.830678
37.684854,55.765375,0,0,131,152.917431,2023/03/03 12:59:33+00,,,,,,,,,,,,,,,,,,,,,,0.318372,273.378473,2.255896,0.843194
37.684844,55.765376,0,0,132,153.057633,2023/03/03 12:59:35+00,,,,,,,,,,,,,,,,,,,,,,0.29922,274.671828,2.25452,0.845916
37.684839,55.765376,0,0,133,153.100828,2023/03/03 12:59:36+00,,,,,,,,,,,,,,,,,,,,,,0.259776,275.364307,2.137003,0.83346
37.684836,55.765376,0,0,134,153.133094,2023/03/03 12:59:37+00,,,,,,,,,,,,,,,,,,,,,,0.168171,277.795392,2.082985,0.824825
37.684835,55.765377,0,0,135,153.15549,2023/03/03 12:59:37+00,,,,,,,,,,,,,,,,,,,,,,0.02974,328.899294,2.056207,0.818889
37.684836,55.765377,0,0,136,153.1701,2023/03/03 12:59:38+00,,,,,,,,,,,,,,,,,,,,,,0.18787,79.506382,2.042247,0.814823
37.684841,55.765377,0,0,137,153.170808,2023/03/03 12:59:39+00,,,,,,,,,,,,,,,,,,,,,,0.405652,83.634524,2.03469,0.812017
37.684848,55.765378,0,0,138,153.156862,2023/03/03 12:59:40+00,,,,,,,,,,,,,,,,,,,,,,0.58121,84.627155,2.030226,0.810049
37.684858,55.765378,0,0,139,153.134072,2023/03/03 12:59:41+00,,,,,,,,,,,,,,,,,,,,,,0.638892,85.539408,2.027328,0.808612
37.684868,55.765378,0,0,140,153.105776,2023/03/03 12:59:42+00,,,,,,,,,,,,,,,,,,,,,,0.576403,86.797631,2.025623,0.808968
37.684876,55.765379,0,0,141,153.069454,2023/03/03 12:59:43+00,,,,,,,,,,,,,,,,,,,,,,0.467896,87.893511,2.025066,0.809798
37.684883,55.765379,0,0,142,153.025862,2023/03/03 12:59:44+00,,,,,,,,,,,,,,,,,,,,,,0.365026,88.886261,2.025506,0.811035
37.684888,55.765379,0,0,143,152.976126,2023/03/03 12:59:45+00,,,,,,,,,,,,,,,,,,,,,,0.293864,90.435624,2.027055,0.812719
37.684892,55.765379,0,0,144,152.920431,2023/03/03 12:59:46+00,,,,,,,,,,,,,,,,,,,,,,0.263995,93.031727,2.030453,0.814959
37.684896,55.765379,0,0,145,152.859547,2023/03/03 12:59:47+00,,,,,,,,,,,,,,,,,,,,,,0.268249,95.839823,2.037445,0.817991
37.684901,55.765378,0,0,146,152.793691,2023/03/03 12:59:48+00,,,,,,,,,,,,,,,,,,,,,,0.285599,97.313879,2.051247,0.822184
37.684905,55.765378,0,0,147,152.724522,2023/03/03 12:59:49+00,,,,,,,,,,,,,,,,,,,,,,0.305107,97.722066,2.078035,0.82807
37.68491,55.765378,0,0,148,152.652611,2023/03/03 12:59:50+00,,,,,,,,,,,,,,,,,,,,,,0.328587,98.000335,2.131991,0.836395
37.684916,55.765377,0,0,149,152.579786,2023/03/03 12:59:51+00,,,,,,,,,,,,,,,,,,,,,,0.356452,98.280934,2.249291,0.848165
37.684928,55.765376,0,0,150,152.434378,2023/03/03 12:59:53+00,,,,,,,,,,,,,,,,,,,,,,0.420979,100.597387,2.250521,0.849155
37.684935,55.765375,0,0,151,152.360162,2023/03/03 12:59:54+00,,,,,,,,,,,,,,,,,,,,,,0.428995,101.149776,2.13432,0.835689
37.684941,55.765374,0,0,152,152.287667,2023/03/03 12:59:55+00,,,,,,,,,,,,,,,,,,,,,,0.433096,100.437033,2.081316,0.826013
37.684948,55.765374,0,0,153,152.214758,2023/03/03 12:59:56+00,,,,,,,,,,,,,,,,,,,,,,0.421886,97.837318,2.055422,0.819035
37.684955,55.765373,0,0,154,152.144424,2023/03/03 12:59:57+00,,,,,,,,,,,,,,,,,,,,,,0.392403,93.927718,2.042518,0.813943
37.684961,55.765373,0,0,155,152.078286,2023/03/03 12:59:58+00,,,,,,,,,,,,,,,,,,,,,,0.344776,89.573057,2.036369,0.810157
37.684966,55.765374,0,0,156,152.016672,2023/03/03 12:59:59+00,,,,,,,,,,,,,,,,,,,,,,0.276212,84.4428,2.033709,0.807269
37.684969,55.765374,0,0,157,151.958678,2023/03/03 13:00:00+00,,,,,,,,,,,,,,,,,,,,,,0.190147,76.659788,2.032753,0.804991
37.684972,55.765374,0,0,158,151.904251,2023/03/03 13:00:01+00,,,,,,,,,,,,,,,,,,,,,,0.104298,63.299321,2.032552,0.80314
37.684972,55.765375,0,0,159,151.85482,2023/03/03 13:00:02+00,,,,,,,,,,,,,,,,,,,,,,0.034007,25.119691,2.032647,0.801587
37.684972,55.765375,0,0,160,151.806696,2023/03/03 13:00:03+00,,,,,,,,,,,,,,,,,,,,,,0.048492,273.492461,2.032862,0.800248
37.684971,55.765375,0,0,161,151.763551,2023/03/03 13:00:04+00,,,,,,,,,,,,,,,,,,,,,,0.102633,254.816589,2.033131,0.799075
37.684969,55.765374,0,0,162,151.725403,2023/03/03 13:00:05+00,,,,,,,,,,,,,,,,,,,,,,0.148441,250.010727,2.033428,0.798024
37.684967,55.765374,0,0,163,151.691791,2023/03/03 13:00:06+00,,,,,,,,,,,,,,,,,,,,,,0.182466,249.580361,2.033751,0.797074
37.684964,55.765373,0,0,164,151.663045,2023/03/03 13:00:07+00,,,,,,,,,,,,,,,,,,,,,,0.215227,252.022586,2.034118,0.796214
37.68496,55.765373,0,0,165,151.640141,2023/03/03 13:00:08+00,,,,,,,,,,,,,,,,,,,,,,0.255892,255.347553,2.034557,0.795417
37.684956,55.765372,0,0,166,151.622712,2023/03/03 13:00:09+00,,,,,,,,,,,,,,,,,,,,,,0.306265,258.388878,2.035156,0.794674
37.684951,55.765372,0,0,167,151.607715,2023/03/03 13:00:11+00,,,,,,,,,,,,,,,,,,,,,,0.36355,260.679012,2.035692,0.793959
37.684944,55.765371,0,0,168,151.594932,2023/03/03 13:00:12+00,,,,,,,,,,,,,,,,,,,,,,0.41555,262.807851,2.036128,0.793278
37.684938,55.765371,0,0,169,151.583152,2023/03/03 13:00:13+00,,,,,,,,,,,,,,,,,,,,,,0.449276,265.014856,2.036678,0.792625
37.68493,55.76537,0,0,170,151.574769,2023/03/03 13:00:14+00,,,,,,,,,,,,,,,,,,,,,,0.453901,266.659357,2.037271,0.792015
37.684923,55.76537,0,0,171,151.568444,2023/03/03 13:00:15+00,,,,,,,,,,,,,,,,,,,,,,0.427406,267.693172,2.037858,0.791415
37.684917,55.76537,0,0,172,151.563648,2023/03/03 13:00:16+00,,,,,,,,,,,,,,,,,,,,,,0.376739,267.948449,2.038415,0.790838
37.684912,55.76537,0,0,173,151.559649,2023/03/03 13:00:17+00,,,,,,,,,,,,,,,,,,,,,,0.315093,267.377064,2.038929,0.790275
37.684907,55.76537,0,0,174,151.557997,2023/03/03 13:00:18+00,,,,,,,,,,,,,,,,,,,,,,0.257851,266.43938,2.039436,0.789731
37.684903,55.76537,0,0,175,151.557987,2023/03/03 13:00:19+00,,,,,,,,,,,,,,,,,,,,,,0.219949,265.740099,2.039983,0.789192
37.6849,55.765369,0,0,176,151.562252,2023/03/03 13:00:20+00,,,,,,,,,,,,,,,,,,,,,,0.210801,265.634954,2.040533,0.788658
37.684896,55.765369,0,0,177,151.568044,2023/03/03 13:00:21+00,,,,,,,,,,,,,,,,,,,,,,0.223836,266.52797,2.041002,0.788127
